handle,party_id,ideological_lean,party_id_label,ideological_lean_label,total_posts,n_days_observed
tw_user_3954,1.0,0.0,Closer to the Republican party,4 Middle of the road,281,737
tw_user_5399,-2.0,1.0,Not very strong Democrat,5 Somewhat conservative,90,737
tw_user_1575,3.0,3.0,Strong Republican,7 Very conservative,563,737
tw_user_9882,1.0,0.0,Closer to the Republican party,4 Middle of the road,4527,737
tw_user_6339,,0.0,No party,4 Middle of the road,662,737
tw_user_3787,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,11,737
tw_user_5925,3.0,3.0,Strong Republican,7 Very conservative,3484,737
tw_user_7329,0.0,3.0,Independent,7 Very conservative,602,737
tw_user_3702,-3.0,-3.0,Strong Democrat,1 Very liberal,169,737
tw_user_4548,,0.0,No party,4 Middle of the road,272,737
tw_user_2007,-2.0,-2.0,Not very strong Democrat,2 Liberal,43,737
tw_user_7061,-3.0,0.0,Strong Democrat,4 Middle of the road,16414,737
tw_user_9738,0.0,-2.0,Independent,2 Liberal,1431,737
tw_user_3113,1.0,0.0,Closer to the Republican party,4 Middle of the road,1996,737
tw_user_9788,-3.0,0.0,Strong Democrat,4 Middle of the road,46,737
tw_user_2710,2.0,0.0,Not very strong Republican,4 Middle of the road,2309,737
tw_user_2238,0.0,0.0,Independent,4 Middle of the road,142,737
tw_user_1253,3.0,3.0,Strong Republican,7 Very conservative,39,737
tw_user_6180,-3.0,3.0,Strong Democrat,7 Very conservative,270,737
tw_user_9042,-3.0,0.0,Strong Democrat,4 Middle of the road,173,737
tw_user_6992,3.0,3.0,Strong Republican,7 Very conservative,410,737
tw_user_2341,-3.0,-2.0,Strong Democrat,2 Liberal,124,737
tw_user_2838,-3.0,0.0,Strong Democrat,4 Middle of the road,1034,737
tw_user_9001,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,864,737
tw_user_6047,3.0,2.0,Strong Republican,6 Conservative,14,737
tw_user_5842,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,13,737
tw_user_3863,-3.0,3.0,Strong Democrat,7 Very conservative,100,737
tw_user_2662,-3.0,0.0,Strong Democrat,4 Middle of the road,3510,737
tw_user_9178,-1.0,-2.0,Closer to the Democratic party,2 Liberal,1143,737
tw_user_9541,2.0,1.0,Not very strong Republican,5 Somewhat conservative,65,737
tw_user_1302,0.0,0.0,Independent,4 Middle of the road,947,737
tw_user_6213,-3.0,-2.0,Strong Democrat,2 Liberal,4652,737
tw_user_5239,-3.0,0.0,Strong Democrat,4 Middle of the road,35,737
tw_user_8107,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,5199,737
tw_user_1127,2.0,2.0,Not very strong Republican,6 Conservative,7,737
tw_user_5033,2.0,2.0,Not very strong Republican,6 Conservative,325,737
tw_user_5548,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,3477,737
tw_user_8690,0.0,0.0,Independent,4 Middle of the road,53,737
tw_user_8764,-2.0,2.0,Not very strong Democrat,6 Conservative,49,737
tw_user_9994,2.0,2.0,Not very strong Republican,6 Conservative,749,737
tw_user_7938,-3.0,-3.0,Strong Democrat,1 Very liberal,225,737
tw_user_2137,0.0,0.0,Independent,4 Middle of the road,3338,737
tw_user_1221,3.0,0.0,Strong Republican,4 Middle of the road,283,737
tw_user_4374,2.0,0.0,Not very strong Republican,4 Middle of the road,59,737
tw_user_5746,0.0,0.0,Independent,4 Middle of the road,8282,737
tw_user_3842,-3.0,-2.0,Strong Democrat,2 Liberal,55,737
tw_user_3829,3.0,3.0,Strong Republican,7 Very conservative,150,737
tw_user_4377,-2.0,0.0,Not very strong Democrat,4 Middle of the road,4729,737
tw_user_3942,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,282,737
tw_user_2372,-2.0,0.0,Not very strong Democrat,4 Middle of the road,325,737
tw_user_3012,0.0,0.0,Independent,4 Middle of the road,1101,737
tw_user_5046,3.0,2.0,Strong Republican,6 Conservative,29,737
tw_user_2211,-1.0,1.0,Closer to the Democratic party,5 Somewhat conservative,2737,737
tw_user_7097,2.0,2.0,Not very strong Republican,6 Conservative,112,737
tw_user_4837,-3.0,3.0,Strong Democrat,7 Very conservative,350,737
tw_user_5400,-3.0,-3.0,Strong Democrat,1 Very liberal,141404,737
tw_user_4699,-3.0,-3.0,Strong Democrat,1 Very liberal,513,737
tw_user_7156,0.0,0.0,Independent,4 Middle of the road,4466,737
tw_user_8158,-2.0,-2.0,Not very strong Democrat,2 Liberal,1534,737
tw_user_7772,3.0,2.0,Strong Republican,6 Conservative,20,737
tw_user_4589,-3.0,1.0,Strong Democrat,5 Somewhat conservative,148,737
tw_user_8962,0.0,0.0,Independent,4 Middle of the road,229,737
tw_user_8430,-3.0,-2.0,Strong Democrat,2 Liberal,135,737
tw_user_6286,3.0,3.0,Strong Republican,7 Very conservative,55,737
tw_user_1899,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,63,737
tw_user_2340,-3.0,-3.0,Strong Democrat,1 Very liberal,194,737
tw_user_8027,-3.0,-2.0,Strong Democrat,2 Liberal,356,737
tw_user_2557,-3.0,-3.0,Strong Democrat,1 Very liberal,4824,737
tw_user_2738,-3.0,-2.0,Strong Democrat,2 Liberal,80,737
tw_user_1053,0.0,-2.0,Independent,2 Liberal,4873,737
tw_user_9730,-3.0,0.0,Strong Democrat,4 Middle of the road,123,737
tw_user_8427,,0.0,Not sure,4 Middle of the road,158,737
tw_user_9961,0.0,1.0,Independent,5 Somewhat conservative,381,737
tw_user_3276,3.0,0.0,Strong Republican,4 Middle of the road,357,737
tw_user_5485,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,440,737
tw_user_3483,2.0,-2.0,Not very strong Republican,2 Liberal,149,737
tw_user_9212,-3.0,-3.0,Strong Democrat,1 Very liberal,5720,737
tw_user_5007,3.0,3.0,Strong Republican,7 Very conservative,121,737
tw_user_1497,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,714,737
tw_user_3716,0.0,-3.0,Independent,1 Very liberal,8583,737
tw_user_3621,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,752,737
tw_user_2906,-3.0,-2.0,Strong Democrat,2 Liberal,586,737
tw_user_4665,,-3.0,Other party,1 Very liberal,737,737
tw_user_3917,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,5376,737
tw_user_4319,-3.0,-2.0,Strong Democrat,2 Liberal,856,737
tw_user_8600,-2.0,0.0,Not very strong Democrat,4 Middle of the road,3812,737
tw_user_8337,3.0,-2.0,Strong Republican,2 Liberal,1683,737
tw_user_9326,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,3112,737
tw_user_5306,1.0,0.0,Closer to the Republican party,4 Middle of the road,187,737
tw_user_7369,-3.0,-3.0,Strong Democrat,1 Very liberal,5800,737
tw_user_6421,-2.0,-2.0,Not very strong Democrat,2 Liberal,4857,737
tw_user_3407,3.0,3.0,Strong Republican,7 Very conservative,3376,737
tw_user_9070,,-1.0,No party,3 Somewhat liberal,96,737
tw_user_4620,3.0,0.0,Strong Republican,4 Middle of the road,62,737
tw_user_4487,-3.0,-2.0,Strong Democrat,2 Liberal,2759,737
tw_user_1916,0.0,0.0,Independent,4 Middle of the road,11,737
tw_user_4867,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,411,737
tw_user_9376,3.0,-3.0,Strong Republican,1 Very liberal,1598,737
tw_user_9174,2.0,2.0,Not very strong Republican,6 Conservative,1869,737
tw_user_1806,3.0,3.0,Strong Republican,7 Very conservative,27006,737
tw_user_7478,0.0,0.0,Independent,4 Middle of the road,4683,737
tw_user_6682,-3.0,-2.0,Strong Democrat,2 Liberal,887,737
tw_user_1028,0.0,0.0,Independent,4 Middle of the road,1736,737
tw_user_5521,2.0,2.0,Not very strong Republican,6 Conservative,1117,737
tw_user_7815,0.0,0.0,Independent,4 Middle of the road,12143,737
tw_user_7645,-3.0,-3.0,Strong Democrat,1 Very liberal,3600,737
tw_user_2358,0.0,0.0,Independent,4 Middle of the road,2292,737
tw_user_3062,-2.0,0.0,Not very strong Democrat,4 Middle of the road,5289,737
tw_user_9847,-3.0,-3.0,Strong Democrat,1 Very liberal,3346,737
tw_user_6228,-3.0,-2.0,Strong Democrat,2 Liberal,338,737
tw_user_3759,0.0,0.0,Independent,4 Middle of the road,5,737
tw_user_4273,-3.0,-3.0,Strong Democrat,1 Very liberal,3279,737
tw_user_4469,3.0,3.0,Strong Republican,7 Very conservative,1601,737
tw_user_7529,-3.0,-2.0,Strong Democrat,2 Liberal,604,737
tw_user_1865,-3.0,-2.0,Strong Democrat,2 Liberal,1148,737
tw_user_7387,3.0,0.0,Strong Republican,4 Middle of the road,32,737
tw_user_8209,-3.0,0.0,Strong Democrat,4 Middle of the road,29,737
tw_user_7278,-3.0,-3.0,Strong Democrat,1 Very liberal,11,737
tw_user_8822,0.0,2.0,Independent,6 Conservative,589,737
tw_user_4946,3.0,0.0,Strong Republican,4 Middle of the road,769,737
tw_user_2575,0.0,0.0,Independent,4 Middle of the road,571,737
tw_user_5683,-3.0,-3.0,Strong Democrat,1 Very liberal,1243,737
tw_user_6646,-3.0,-3.0,Strong Democrat,1 Very liberal,3011,737
tw_user_3448,2.0,1.0,Not very strong Republican,5 Somewhat conservative,115,737
tw_user_5080,0.0,3.0,Independent,7 Very conservative,145,737
tw_user_3136,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,48,737
tw_user_5562,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,180,737
tw_user_5959,0.0,-3.0,Independent,1 Very liberal,38,737
tw_user_9394,0.0,-1.0,Independent,3 Somewhat liberal,106,737
tw_user_9568,-1.0,2.0,Closer to the Democratic party,6 Conservative,99,737
tw_user_7892,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,7856,737
tw_user_2101,-3.0,-2.0,Strong Democrat,2 Liberal,213,737
tw_user_8854,,-3.0,No party,1 Very liberal,577,737
tw_user_8753,,3.0,Other party,7 Very conservative,1855,737
tw_user_8202,0.0,0.0,Independent,4 Middle of the road,918,737
tw_user_6851,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,1919,737
tw_user_1658,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,2383,737
tw_user_2426,3.0,1.0,Strong Republican,5 Somewhat conservative,1322,737
tw_user_4725,0.0,-3.0,Independent,1 Very liberal,1543,737
tw_user_5237,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,16,737
tw_user_2259,3.0,-1.0,Strong Republican,3 Somewhat liberal,77,737
tw_user_9489,0.0,0.0,Independent,4 Middle of the road,242,737
tw_user_1671,-3.0,-3.0,Strong Democrat,1 Very liberal,567,737
tw_user_3907,2.0,2.0,Not very strong Republican,6 Conservative,1903,737
tw_user_8912,-3.0,-3.0,Strong Democrat,1 Very liberal,2211,737
tw_user_5845,0.0,-3.0,Independent,1 Very liberal,697,737
tw_user_7179,-3.0,-3.0,Strong Democrat,1 Very liberal,31394,737
tw_user_9819,,0.0,No party,4 Middle of the road,323,737
tw_user_5822,3.0,3.0,Strong Republican,7 Very conservative,37,737
tw_user_8636,-1.0,-2.0,Closer to the Democratic party,2 Liberal,4462,737
tw_user_7920,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,127,737
tw_user_7480,-2.0,-2.0,Not very strong Democrat,2 Liberal,161,737
